model,score,access
Claude Fable 5,60,closed
GPT-5.6 Sol,59,closed
Kimi K3,57,open_weights
Claude Opus 4.8,56,closed
GLM-5.2,51,open_weights
DeepSeek V4 Pro,44,open_weights
