date,pce_mom,core_pce_mom,pce_yoy,core_pce_yoy,pce_ann3,core_pce_ann3,real_pce,real_pce_mom,real_dpi,real_dpi_mom,saving_rate,unrate,payems,payroll_change
2019-01-01,-0.05160611873301635,0.13140604467805073,1.4318323303589953,1.844426623897344,0.20679792737972047,1.9839962716293735,13721.7,0.2879632810273147,15536.3,0.19217747396251816,8.4,4.0,150060.0,251.0
2019-02-01,0.1831501831501825,0.09040536599591587,1.4001735426362627,1.7441056147354805,0.8053047193687268,1.5969001303932862,13728.5,0.049556541827899814,15560.4,0.15512058855713384,8.5,3.8,150067.0,7.0
2019-03-01,0.22657435139445958,0.09226615386110915,1.5218076513927814,1.61606799514884,1.4410090071131254,1.2635478416228363,13824.8,0.7014604654550727,15566.5,0.03920207706742396,7.9,3.8,150295.0,228.0
2019-04-01,0.28233513471558336,0.2008577694113889,1.5663384627478738,1.6367788035668518,2.803531727251185,1.5447882169246308,13825.9,0.007956715467849484,15534.2,-0.20749686827481462,7.6,3.7,150591.0,296.0
2019-05-01,0.07256191950464341,0.10264852563792726,1.4655536045359518,1.563175476517964,2.3503595747754957,1.5944815787033662,13877.1,0.3703194728733816,15532.4,-0.011587336328877651,7.3,3.6,150618.0,27.0
2019-06-01,0.04737274616908316,0.18283657892446126,1.4260651383430245,1.6569813098790576,1.6203249737351433,1.9626999213617102,13924.1,0.3386874779312654,15562.1,0.19121320594370772,7.1,3.6,150838.0,220.0
2019-07-01,0.13335394843647652,0.11394360757048805,1.4539295260287632,1.6391192674940713,1.017793624582386,1.609390413936329,13989.9,0.47256196091667313,15581.4,0.12401925190044238,6.8,3.7,150937.0,99.0
2019-08-01,0.04632220956939381,0.11477844865834808,1.4304164057608038,1.745804579673771,0.9118850640048137,1.6586493753997678,14043.6,0.3838483477365928,15664.3,0.5320446173001203,6.9,3.6,151169.0,232.0
2019-09-01,0.06076975016879871,0.07321984257735448,1.2839539924622612,1.6320140893302693,0.965946993303124,1.2144529909229984,14066.2,0.1609273975333947,15697.5,0.211946911129135,7.0,3.5,151365.0,196.0
2019-10-01,0.17737846201304475,0.1492206829493803,1.2885618207514993,1.6235859562745425,1.1436264097215654,1.3571878560266537,14067.2,0.007109240590930099,15718.1,0.13123108775283665,7.1,3.6,151460.0,95.0
2019-11-01,0.10296679080419313,0.06152189795054497,1.3582773068303577,1.4977183197472543,1.3728844483368974,1.1416900588430146,14142.8,0.5374203821655987,15766.9,0.3104700949860373,6.9,3.6,151667.0,207.0
2019-12-01,0.2720526032454096,0.22095838296891657,1.5637627676458932,1.544751058548699,2.231813940261884,1.740277686593883,14165.7,0.16191984614080113,15683.8,-0.5270535108359953,6.2,3.6,151794.0,127.0
2020-01-01,0.17544364232504606,0.17733555721708427,1.7944821136310463,1.5913288616700605,2.223916173360241,1.8545719297980545,14230.7,0.4588548395066949,15842.8,1.0137849245718478,6.8,3.6,152031.0,237.0
2020-02-01,0.07943343860656871,0.19520223525695268,1.689097203314005,1.6976972310441596,2.127822189208617,2.3999669458061534,14181.4,-0.34643411778760846,15900.3,0.36294089428636767,7.5,3.5,152293.0,262.0
2020-03-01,-0.2887934744149945,-0.0754457506852102,1.1662090444265472,1.5272953094374042,-0.13798255916109836,1.1939361549530902,13249.1,-6.574104108198053,15702.3,-1.2452595234052177,12.4,4.4,150895.0,-1398.0
2020-04-01,-0.415264071505983,-0.3239926599892917,0.4624613003096023,0.9954970222243897,-2.472668355154395,-0.8165714528069801,11798.6,-10.94791344317727,18015.3,14.730326130566862,31.8,14.8,130426.0,-20469.0
2020-05-01,0.10015601224984128,0.10451324633484749,0.49016290423937736,0.9973783749794407,-2.391866734240855,-1.1751770489774827,12780.5,8.322173817232548,17110.0,-5.025173047354192,22.6,13.2,133040.0,2614.0
2020-06-01,0.3155606011044698,0.15612727725522468,0.7595377063120967,0.9704519119350996,-0.0038361025194277865,-0.2558898744194571,13476.8,5.448143656351467,17050.2,-0.3495032144944399,18.3,11.0,137671.0,4631.0
2020-07-01,0.29538697611970477,0.3557595753837406,0.9225840072571545,1.2143366963097257,2.8812113025154407,2.492936467120943,13683.5,1.5337468835331824,17202.9,0.8955906675581549,17.9,10.2,139255.0,1584.0
