date,gdp_growth,pce_growth,equipment_growth,pnfi_growth,gdp_deflator_growth,pce_contribution,gpdi_contribution,govt_contribution,netex_contribution,equip_minus_pce
2019-01-01,2.5,0.6353394805504786,2.9455786791261707,4.736840594787428,1.2051874920400163,0.5,18.2,17.5,-2.8,2.310239198575692
2019-04-01,3.4,3.4561464042283996,4.321323236802921,9.657670772964178,2.0832837395947434,0.4,18.2,17.6,-2.9,0.8651768325745213
2019-07-01,4.8,4.619196230702416,-6.60290807349705,4.105754561675901,1.276987133186469,0.3,18.1,17.6,-2.7,-11.222104304199465
2019-10-01,2.8,2.6482469980116052,-10.1731925694303,-2.719191592986847,1.2496714616599292,0.1,17.7,17.6,-2.3,-12.821439567441907
2020-01-01,-5.2,-6.575763113719191,-18.333526634081366,-5.824112800859904,1.989490084180634,-0.2,17.5,18.1,-2.3,-11.757763520362175
2020-04-01,-28.0,-30.375692534587294,-38.378473693791,-27.49062769813152,-1.582417995133334,-1.4,16.4,20.2,-2.6,-8.002781159203707
2020-07-01,34.9,40.61676739977298,46.949948972235944,18.06846773437116,3.713613135931304,0.5,18.0,18.4,-3.2,6.333181572462962
2020-10-01,4.6,5.54596531839211,15.263746912131836,12.656917068414163,2.5164903152890217,0.4,18.4,18.2,-3.4,9.717781593739726
2021-01-01,5.7,9.406173958880926,7.980228965352287,9.005056864101114,5.192766406219862,-0.1,17.9,18.3,-3.5,-1.4259449935286383
2021-04-01,7.0,14.727959077338571,8.75442680041738,10.455863021035071,6.374708504194948,-0.6,17.3,17.8,-3.5,-5.9735322769211905
2021-07-01,3.3,3.3687755586044865,-6.469122810848127,2.3319693290569488,6.293900265377572,0.0,17.7,17.6,-3.6,-9.837898369452613
2021-10-01,7.0,3.899635090513476,4.7057170067589915,10.097911811431981,7.062836058272537,1.1,18.6,17.3,-3.7,0.8060819162455157
2022-01-01,-1.0,0.3708145212748981,21.406698106854982,19.349304786199497,8.32622034854895,1.1,19.1,17.2,-4.2,21.035883585580084
2022-04-01,0.6,3.3125980014081957,9.689605173650806,15.791368025715592,9.351665583904456,0.6,18.6,17.2,-3.9,6.37700717224261
2022-07-01,2.9,1.8900664029552594,9.10655569275911,13.28052265504709,4.501196787386785,0.4,18.3,17.0,-3.2,7.216489289803851
2022-10-01,2.8,0.7991164719941546,8.408526976078612,10.461667819197483,3.8621187302677162,0.7,18.5,17.1,-3.2,7.609410504084457
2023-01-01,2.9,4.497707280562735,6.643304659034954,13.818840569521385,3.7943784204321096,0.2,17.9,17.1,-2.9,2.1455973784722193
2023-04-01,2.5,1.5038696509172667,12.90955591499019,10.815096935264723,2.1006429720466624,0.1,18.0,17.0,-2.9,11.405686264072923
2023-07-01,4.7,3.0746183017932083,-0.10876637659663624,1.8156365579250267,3.301253806241977,0.3,18.1,17.1,-2.7,-3.1833846783898445
2023-10-01,3.4,3.040725327093985,4.352030145351193,7.397768729378429,1.6074650963316062,0.2,18.2,17.1,-2.8,1.3113048182572085
2024-01-01,0.8,1.7338020670978338,4.056786490633946,2.2937195977135394,3.178065805569763,0.1,18.0,17.2,-2.9,2.322984423536112
2024-04-01,3.6,3.886983187590687,10.951993796233106,5.001560328158239,2.574867603624109,0.3,18.1,17.1,-3.1,7.065010608642419
2024-07-01,3.3,3.959288651787829,10.450630332032373,5.781206751309376,1.7012889039152101,0.3,18.1,17.2,-3.2,6.4913416802445445
2024-10-01,1.9,3.8941732113288996,-3.528956877768785,-2.2220813794328165,2.4211163072479724,0.1,17.6,17.3,-3.1,-7.423130089097684
2025-01-01,-0.6,0.611658451443664,22.115557757795923,9.349047148983768,3.612990101340552,0.7,18.5,17.3,-4.2,21.50389930635226
2025-04-01,3.8,2.467167583464991,12.15110114443636,6.909302282086971,2.120483605195722,-0.2,17.6,17.2,-3.0,9.683933560971369
2025-07-01,4.4,3.4530322354790366,11.383252669750576,8.426114781498706,3.7378875984050763,-0.2,17.4,17.1,-2.4,7.930220434271539
2025-10-01,0.5,1.927862214105569,7.858624366510614,6.774517028927529,3.74140132907006,-0.1,17.5,17.0,-2.5,5.930762152405045
2026-01-01,2.1,0.5411411168366298,20.658157880280093,12.068104852839712,3.5966340055643142,-0.1,17.7,17.0,-2.6,20.117016763443463
2026-04-01,1.5,3.2,15.2,8.4,6.280064633779503,-0.3,17.6,17.1,-2.7,12.0
