component,q1_pp,q2_pp,sort,delta_pp
Net exports,-0.37,-1.01,1,-0.64
Government,0.74,-0.14,2,-0.88
Investment (GPDI),1.35,0.53,3,-0.8200000000000001
Consumer (PCE),0.37,2.12,4,1.75
