Component,Contribution,Color
Energy,1.1,#cc7722
Shelter,1.2,#6b8e6b
Food,0.5,#9b6a44
Core services ex shelter,0.8,#2e5984
Core goods,0.1,#b0b0b0
Other,0.1,#d0d0d0
