date,initial_claims,claims_4wk_avg
2022-02-05,210000.0,231750.0
2022-02-12,234000.0,228750.0
2022-02-19,224000.0,224750.0
2022-02-26,208000.0,219000.0
2022-03-05,222000.0,222000.0
2022-03-12,217000.0,217750.0
2022-03-19,207000.0,213500.0
2022-03-26,214000.0,215000.0
2022-04-02,214000.0,213000.0
2022-04-09,214000.0,212250.0
2022-04-16,210000.0,213000.0
2022-04-23,209000.0,211750.0
2022-04-30,218000.0,212750.0
2022-05-07,204000.0,210250.0
2022-05-14,225000.0,214000.0
2022-05-21,211000.0,214500.0
2022-05-28,199000.0,209750.0
2022-06-04,213000.0,212000.0
2022-06-11,211000.0,208500.0
2022-06-18,214000.0,209250.0
2022-06-25,212000.0,212500.0
2022-07-02,214000.0,212750.0
2022-07-09,212000.0,213000.0
2022-07-16,216000.0,213500.0
2022-07-23,221000.0,215750.0
2022-07-30,228000.0,219250.0
2022-08-06,221000.0,221500.0
2022-08-13,220000.0,222500.0
2022-08-20,215000.0,221000.0
2022-08-27,210000.0,216500.0
2022-09-03,203000.0,212000.0
2022-09-10,195000.0,205750.0
2022-09-17,202000.0,202500.0
2022-09-24,190000.0,197500.0
2022-10-01,203000.0,197500.0
2022-10-08,207000.0,200500.0
2022-10-15,199000.0,199750.0
2022-10-22,202000.0,202750.0
2022-10-29,202000.0,202500.0
2022-11-05,204000.0,201750.0
2022-11-12,210000.0,204500.0
2022-11-19,220000.0,209000.0
2022-11-26,209000.0,210750.0
2022-12-03,209000.0,212000.0
2022-12-10,209000.0,211750.0
2022-12-17,213000.0,210000.0
2022-12-24,205000.0,209000.0
2022-12-31,205000.0,208000.0
2023-01-07,210000.0,208250.0
2023-01-14,204000.0,206000.0
2023-01-21,204000.0,205750.0
2023-01-28,200000.0,204500.0
2023-02-04,215000.0,205750.0
2023-02-11,220000.0,209750.0
2023-02-18,217000.0,213000.0
2023-02-25,207000.0,214750.0
2023-03-04,230000.0,218500.0
2023-03-11,222000.0,219000.0
2023-03-18,230000.0,222250.0
2023-03-25,234000.0,229000.0
2023-04-01,217000.0,225750.0
2023-04-08,220000.0,225250.0
2023-04-15,223000.0,223500.0
2023-04-22,209000.0,217250.0
2023-04-29,213000.0,216250.0
2023-05-06,223000.0,217000.0
2023-05-13,225000.0,217500.0
2023-05-20,227000.0,222000.0
2023-05-27,229000.0,226000.0
2023-06-03,252000.0,233250.0
2023-06-10,256000.0,241000.0
2023-06-17,259000.0,249000.0
2023-06-24,236000.0,250750.0
2023-07-01,248000.0,249750.0
2023-07-08,230000.0,243250.0
2023-07-15,229000.0,235750.0
2023-07-22,231000.0,234500.0
2023-07-29,238000.0,232000.0
2023-08-05,258000.0,239000.0
2023-08-12,248000.0,243750.0
2023-08-19,240000.0,246000.0
2023-08-26,234000.0,245000.0
2023-09-02,225000.0,236750.0
2023-09-09,225000.0,231000.0
2023-09-16,211000.0,223750.0
2023-09-23,216000.0,219250.0
2023-09-30,216000.0,217000.0
2023-10-07,210000.0,213250.0
2023-10-14,200000.0,210500.0
2023-10-21,214000.0,210000.0
2023-10-28,217000.0,210250.0
2023-11-04,216000.0,211750.0
2023-11-11,230000.0,219250.0
2023-11-18,213000.0,219000.0
2023-11-25,213000.0,218000.0
2023-12-02,215000.0,217750.0
2023-12-09,203000.0,211000.0
2023-12-16,209000.0,210000.0
2023-12-23,212000.0,209750.0
2023-12-30,200000.0,206000.0
2024-01-06,201000.0,205500.0
2024-01-13,195000.0,202000.0
2024-01-20,224000.0,205000.0
2024-01-27,226000.0,211500.0
2024-02-03,213000.0,214500.0
