date,gdp_growth,pce_growth,pce_durable_growth,pce_nondurable_growth,pce_services_growth,equipment_growth,pnfi_growth,gdp_deflator_growth
2019-01-01,2.5,0.6353394805504786,-3.5141484819618096,3.5304021854198453,0.4177992541423592,2.9455786791261707,4.736840594787428,1.2051874920400163
2019-04-01,3.4,3.4561464042283996,12.163920607912537,4.610174379640886,1.827045773749214,4.321323236802921,9.657670772964178,2.0832837395947434
2019-07-01,4.8,4.619196230702416,9.753947813664944,3.9180955241726823,4.042523330827885,-6.60290807349705,4.105754561675901,1.276987133186469
2019-10-01,2.8,2.6482469980116052,3.287517382309546,0.3571491102287494,3.2307866940537444,-10.1731925694303,-2.719191592986847,1.2496714616599292
2020-01-01,-5.2,-6.575763113719191,-15.043522761173167,5.611672740641538,-8.738880208075084,-18.333526634081366,-5.824112800859904,1.989490084180634
2020-04-01,-28.0,-30.375692534587294,-1.068702957411316,-11.863412601190259,-38.954545030026885,-38.378473693791,-27.49062769813152,-1.582417995133334
2020-07-01,34.9,40.61676739977298,96.10682136187445,29.886785406979488,36.16618237994391,46.949948972235944,18.06846773437116,3.713613135931304
2020-10-01,4.6,5.54596531839211,2.7409059447500272,1.734047735329658,7.319027689220814,15.263746912131836,12.656917068414163,2.5164903152890217
2021-01-01,5.7,9.406173958880926,30.641442833073484,10.772549514709517,5.389029785295807,7.980228965352287,9.005056864101114,5.192766406219862
2021-04-01,7.0,14.727959077338571,17.043665009986665,15.45169922973737,14.019919349061505,8.75442680041738,10.455863021035071,6.374708504194948
2021-07-01,3.3,3.3687755586044865,-23.66022592095448,0.7592835426935229,10.344599917982155,-6.469122810848127,2.3319693290569488,6.293900265377572
2021-10-01,7.0,3.899635090513476,6.22564910675949,2.1010833868698287,4.0679107261542224,4.7057170067589915,10.097911811431981,7.062836058272537
2022-01-01,-1.0,0.3708145212748981,-0.04405988960797247,-3.0107426754025446,1.5938843468568331,21.406698106854982,19.349304786199497,8.32622034854895
2022-04-01,0.6,3.3125980014081957,-1.2835060685573385,0.07163560944785097,5.278930130202797,9.689605173650806,15.791368025715592,9.351665583904456
2022-07-01,2.9,1.8900664029552594,-1.5107203431234728,-2.959180325920552,4.163399239160159,9.10655569275911,13.28052265504709,4.501196787386785
2022-10-01,2.8,0.7991164719941546,-4.792684342919717,-0.9014467368402834,2.340727176137114,8.408526976078612,10.461667819197483,3.8621187302677162
2023-01-01,2.9,4.497707280562735,18.008198083528427,1.7898862611265054,3.1916740186532344,6.643304659034954,13.818840569521385,3.7943784204321096
2023-04-01,2.5,1.5038696509172667,0.07729409280285982,0.5978495697473774,2.0230202217831117,12.90955591499019,10.815096935264723,2.1006429720466624
2023-07-01,4.7,3.0746183017932083,6.321863853490539,3.313752666372771,2.4485023828314523,-0.10876637659663624,1.8156365579250267,3.301253806241977
2023-10-01,3.4,3.040725327093985,0.21119401465343746,3.227932079263307,3.4478153002938994,4.352030145351193,7.397768729378429,1.6074650963316062
2024-01-01,0.8,1.7338020670978338,-0.923294092334781,-1.5682444246788774,3.194884987911406,4.056786490633946,2.2937195977135394,3.178065805569763
2024-04-01,3.6,3.886983187590687,7.75248141713456,4.251345604183054,3.168753847629091,10.951993796233106,5.001560328158239,2.574867603624109
2024-07-01,3.3,3.959288651787829,8.556932670732987,4.817587828800507,2.985961472498122,10.450630332032373,5.781206751309376,1.7012889039152101
2024-10-01,1.9,3.8941732113288996,13.019351339969521,3.7779359949042357,2.5347997397294098,-3.528956877768785,-2.2220813794328165,2.4211163072479724
2025-01-01,-0.6,0.611658451443664,-3.3750145922935793,2.1721516912477146,0.8019057423257703,22.115557757795923,9.349047148983768,3.612990101340552
2025-04-01,3.8,2.467167583464991,2.2951832304222375,2.193277668962157,2.575209605414175,12.15110114443636,6.909302282086971,2.120483605195722
2025-07-01,4.4,3.4530322354790366,1.5517606419709784,3.8569703700271907,3.637711354573958,11.383252669750576,8.426114781498706,3.7378875984050763
2025-10-01,0.5,1.927862214105569,0.13705188223360754,0.3989883446503306,2.6601532174987508,7.858624366510614,6.774517028927529,3.74140132907006
2026-01-01,1.6,1.4026379330185579,0.4031921951970219,0.4605144924785698,1.8339666951809663,21.945457804723965,11.525438026167878,3.470912810411031
2026-04-01,,1.6541702347872222,,,,,,
