component,mom_change,category
Professional & commercial equipment wholesaling,14.4,trade
Final demand trade services margins,2.5,aggregate
Apparel & footwear retailing,1.8,trade
Chemicals & plastics wholesaling,1.5,trade
Health & beauty aids retailing,1.2,trade
Food & alcohol wholesaling/retailing,0.9,trade
Final demand services (total),0.8,aggregate
