date,cpi_headline,cpi_core,cpi_headline_unadjusted,cpi_core_unadjusted,cpi_energy,cpi_food,cpi_shelter,cpi_core_goods,pce_headline,pce_core,cpi_headline_mom,cpi_headline_yoy,cpi_headline_ann3,cpi_core_mom,cpi_core_yoy,cpi_core_ann3,cpi_headline_unadjusted_mom,cpi_headline_unadjusted_yoy,cpi_headline_unadjusted_ann3,cpi_core_unadjusted_mom,cpi_core_unadjusted_yoy,cpi_core_unadjusted_ann3,cpi_energy_mom,cpi_energy_yoy,cpi_energy_ann3,cpi_food_mom,cpi_food_yoy,cpi_food_ann3,cpi_shelter_mom,cpi_shelter_yoy,cpi_shelter_ann3,cpi_core_goods_mom,cpi_core_goods_yoy,cpi_core_goods_ann3,pce_headline_mom,pce_headline_yoy,pce_headline_ann3,pce_core_mom,pce_core_yoy,pce_core_ann3,cpi_headline_release_yoy,cpi_core_release_yoy,contrib_energy_mom_pp,contrib_food_mom_pp,contrib_core_goods_mom_pp,contrib_shelter_mom_pp,contrib_other_services_mom_pp
2019-01-01,252.561,260.766,251.712,260.122,204.34,256.302,312.998,144.788,102.648,102.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,253.319,261.186,252.776,261.114,208.144,256.998,314.072,144.749,102.836,102.963,0.3001255142321968,,,0.16106394238510902,,,0.4227053140096748,,,0.38135951591944384,,,1.861603210335705,,,0.27155465037338455,,,0.3431331829596429,,,-0.02693593391718263,,,0.1831501831501825,,,0.09040536599591587,,,,,0.12100420867182082,0.038832315003393986,-0.004983147774678787,0.12490047859731002,0.020371659734350733
2019-03-01,254.277,261.567,254.202,261.836,214.934,257.374,315.051,144.733,103.069,103.058,0.37817929172307974,,,0.1458730559831034,,,0.5641358356806014,,,0.2765075790650995,,,3.262164655238675,,,0.1463046405030477,,,0.311711964135597,,,-0.011053616950718048,,,0.22657435139445958,,,0.09226615386110915,,,,,0.21204070259051389,0.02092156359193582,-0.002044919135882839,0.1134631549453573,0.033798789731155576
2019-04-01,255.233,261.997,255.548,262.332,222.42,257.018,316.172,144.37,103.36,103.265,0.3759679404743643,,4.2994809018042535,0.1643938264383582,,1.9016961591955317,0.5295001612890538,,6.236624673774971,0.18943155257489241,,3.44196053549779,3.482929643518462,,40.37242075086746,-0.13832011003444,,1.1221229580050895,0.35581540766416175,,4.118373669484399,-0.2508066577767365,,-1.1498006607469247,0.28233513471558336,,2.803531727251185,0.2008577694113889,,1.5447882169246308,,,0.22639042682870003,-0.01977977573492492,-0.04639923168869625,0.12951680838975488,0.08623971267953057
2019-05-01,255.296,262.217,256.092,262.59,220.523,257.523,317.03,144.146,103.435,103.371,0.02468332856644384,,3.1584911773706814,0.08397042714227698,,1.5883251039966018,0.21287585893843275,,5.351493998850421,0.09834865742646137,,2.280325550870077,-0.8528909270749008,,25.9969355847794,0.19648429292891123,,0.8196342551194613,0.27137127892411517,,3.820845735474454,-0.15515688855026744,,-1.6559491498091106,0.07256191950464341,,2.3503595747754957,0.10264852563792726,,1.5944815787033662,,,-0.05543791025986855,0.028097253888834304,-0.028704024381799476,0.09877914552837792,-0.018051136209100357
2019-06-01,255.213,262.739,256.143,263.177,214.926,257.664,317.949,144.173,103.484,103.56,-0.03251128102280676,,1.4805599461274799,0.1990717611749071,,1.8043569789720992,0.019914718148150712,,3.089424326050483,0.22354240450894736,,2.06440240451089,-2.53805725479882,,-0.014887460080481585,0.05475239104855145,,0.4514683084335447,0.28987792953349967,,3.730483886465108,0.018731008838268615,,-1.5387181992224552,0.04737274616908316,,1.6203249737351433,0.18283657892446126,,1.9626999213617102,,,-0.1649737215619233,0.007829591919942857,0.0034652366350796937,0.10551556635019388,0.015652045633900102
2019-07-01,255.802,263.28,256.571,263.566,216.696,257.836,318.777,144.206,103.622,103.678,0.23078761661827762,,0.8947206158462562,0.2059077639787077,,1.973236466672379,0.16709416224534035,,1.6109056022754142,0.14780926904705005,,1.894903210462906,0.8235392646771533,,-9.90343504169282,0.06675360158967525,,1.2791530738667234,0.26041912382173127,,3.336629205495689,0.022889167874695637,,-0.4536143601335474,0.13335394843647652,,1.017793624582386,0.11394360757048805,,1.609390413936329,,,0.053530052204014966,0.00954576502732356,0.004234496056818693,0.09479256107111018,0.06868474225901022
2019-08-01,256.036,263.877,256.558,264.169,213.847,258.046,319.37,144.225,103.67,103.797,0.09147700174354512,,1.1644893199990625,0.2267547857794039,,2.556401626183291,-0.005066823608290694,,0.7298525296141056,0.22878519991198498,,2.427052649614847,-1.3147450806660022,,-11.570518176075073,0.08144712142601485,,0.8148326770290426,0.1860234584051046,,2.98525066274522,0.0131755960223634,,0.21940246223179916,0.04632220956939381,,0.9118850640048137,0.11477844865834808,,1.6586493753997678,,,-0.08545843024329014,0.011646938363920122,0.002437485264137229,0.06771253885945806,0.09513846949931984
2019-09-01,256.43,264.388,256.759,264.522,213.015,258.575,320.436,144.175,103.733,103.873,0.1538846099767177,,1.9211133031748817,0.19365082974263093,,2.534209560080214,0.07834485769300237,,0.9654383661544585,0.13362657995450444,,2.0599761654668702,-0.3890632087427126,,-3.5094189669276243,0.20500220890848908,,1.4217629350440797,0.3337821335754665,,3.165705779255057,-0.034668053388786646,,0.00554900464595498,0.06076975016879871,,0.965946993303124,0.07321984257735448,,1.2144529909229984,,,-0.02528910856827632,0.029315315873913936,-0.0064135898769255295,0.1214966966214698,0.03477529592653583
2019-10-01,257.155,264.97,257.346,265.059,215.268,259.088,320.862,144.225,103.917,104.028,0.2827282299262768,,2.1325438094435434,0.2201310195621753,,2.59243689748192,0.22861905522297832,,1.2137280228980751,0.2030076893415389,,2.28517165495683,1.057671994929943,,-2.610009218776488,0.19839504979213274,,1.9565130525271313,0.1329438639853242,,2.6420289271764874,0.034680076296145224,,0.052712800784204816,0.17737846201304475,,1.1436264097215654,0.1492206829493803,,1.3571878560266537,,,0.06874867967044629,0.028370492120274978,0.006415814114786866,0.04839156649065801,0.13080167753011063
