date,retail_sales,housing_starts,retail_sales_mom,retail_sales_yoy,housing_starts_mom
2019-01-01,490440.0,1226.0,,,
2019-02-01,491751.0,1121.0,0.26731098605334846,,-8.564437194127239
2019-03-01,499292.0,1191.0,1.533499677682415,,6.244424620874223
2019-04-01,499343.0,1272.0,0.010214463680568997,,6.801007556675054
2019-05-01,504741.0,1293.0,1.0810204608856067,,1.650943396226423
2019-06-01,505251.0,1243.0,0.10104192050972571,,-3.8669760247486473
2019-07-01,509091.0,1240.0,0.7600182879400563,,-0.24135156878519748
2019-08-01,512561.0,1375.0,0.6816070211415948,,10.88709677419355
2019-09-01,509282.0,1311.0,-0.6397287347262082,,-4.654545454545456
2019-10-01,510648.0,1325.0,0.26822074999706125,,1.067887109077037
2019-11-01,514215.0,1353.0,0.6985242280396653,,2.1132075471698153
2019-12-01,515866.0,1548.0,0.32107192516748206,,14.412416851441234
2020-01-01,515119.0,1581.0,-0.144805046271701,5.032012070793579,2.131782945736438
2020-02-01,515330.0,1549.0,0.04096140891716171,4.794906365213292,-2.024035420619863
2020-03-01,468324.0,1266.0,-9.12153377447461,-6.202382573724396,-18.269851517107817
2020-04-01,401028.0,936.0,-14.369539037076894,-19.68887117672622,-26.066350710900476
2020-05-01,478449.0,1039.0,19.30563451928544,-5.209008184395558,11.00427350427351
2020-06-01,518038.0,1266.0,8.274445134173124,2.5308213145545544,21.84793070259865
2020-07-01,526304.0,1526.0,1.595635841386156,3.381124396227797,20.53712480252765
2020-08-01,530735.0,1396.0,0.8419088587584334,3.5457243137889893,-8.51900393184797
2020-09-01,541302.0,1473.0,1.991012463847297,6.28728288060445,5.515759312320911
2020-10-01,539114.0,1543.0,-0.40421058854391845,5.574485751437397,4.752206381534285
2020-11-01,533941.0,1543.0,-0.9595373149278275,3.836138580165893,0.0
2020-12-01,538548.0,1614.0,0.862829413736721,4.396878259082793,4.601425793907965
2021-01-01,559230.0,1624.0,3.840326210477052,8.563264022488015,0.6195786864931829
2021-02-01,544891.0,1398.0,-2.564061298571252,5.736324297052375,-13.916256157635464
2021-03-01,603581.0,1688.0,10.770961531755896,28.88107378652387,20.743919885550778
2021-04-01,608961.0,1489.0,0.8913468117783596,51.849995511535354,-11.789099526066348
2021-05-01,605282.0,1600.0,-0.6041437793224858,26.50919951760793,7.45466756212223
