component,contribution_pp,approximate_total_pp,official_headline_mom,gasoline_contrib_pp
Energy,0.15403911264556366,0.3878195111354593,0.4,0.14700293484640958
Food,0.016563117174127225,0.3878195111354593,0.4,0.14700293484640958
Shelter,0.09323873734253864,0.3878195111354593,0.4,0.14700293484640958
Core goods,0.019879555560851667,0.3878195111354593,0.4,0.14700293484640958
Other services,0.1040989884123781,0.3878195111354593,0.4,0.14700293484640958
