date,pce_headline,pce_core,saving_rate,payems,unrate,real_pce,pce_headline_mom,pce_headline_yoy,pce_core_mom,pce_core_yoy,real_pce_mom,real_pce_yoy,payroll_change_k,fed_target_upper,reconstructed_july
2019-01-01,102.648,102.87,8.4,150060.0,4.0,103.243,,,,,,,,2.5,False
2019-02-01,102.836,102.963,8.5,150067.0,3.8,103.294,0.1831501831501825,,0.09040536599591587,,0.04939802214194433,,7.0,2.5,False
2019-03-01,103.069,103.058,7.9,150295.0,3.8,104.019,0.22657435139445958,,0.09226615386110915,,0.7018800704784445,,228.0,2.5,False
2019-04-01,103.36,103.265,7.6,150591.0,3.7,104.028,0.28233513471558336,,0.2008577694113889,,0.008652265451503105,,296.0,2.5,False
2019-05-01,103.435,103.371,7.3,150618.0,3.6,104.413,0.07256191950464341,,0.10264852563792726,,0.3700926673587901,,27.0,2.5,False
2019-06-01,103.484,103.56,7.1,150838.0,3.6,104.766,0.04737274616908316,,0.18283657892446126,,0.3380805072165316,,220.0,2.5,False
2019-07-01,103.622,103.678,6.8,150937.0,3.7,105.261,0.13335394843647652,,0.11394360757048805,,0.47248153026744344,,99.0,2.5,False
2019-08-01,103.67,103.797,6.9,151169.0,3.6,105.665,0.04632220956939381,,0.11477844865834808,,0.3838078680613144,,232.0,2.25,False
2019-09-01,103.733,103.873,7.0,151365.0,3.5,105.836,0.06076975016879871,,0.07321984257735448,,0.161832205555279,,196.0,2.0,False
2019-10-01,103.917,104.028,7.1,151460.0,3.6,105.843,0.17737846201304475,,0.1492206829493803,,0.006614006576222131,,95.0,1.75,False
2019-11-01,104.024,104.092,6.9,151667.0,3.6,106.412,0.10296679080419313,,0.06152189795054497,,0.5375886926863416,,207.0,1.75,False
2019-12-01,104.307,104.322,6.2,151794.0,3.6,106.584,0.2720526032454096,,0.22095838296891657,,0.1616359057249106,,127.0,1.75,False
2020-01-01,104.49,104.507,6.8,152031.0,3.6,107.073,0.17544364232504606,1.7944821136310463,0.17733555721708427,1.5913288616700605,0.45879306462508485,3.7096946039925305,237.0,1.75,False
2020-02-01,104.573,104.711,7.5,152293.0,3.5,106.702,0.07943343860656871,1.689097203314005,0.19520223525695268,1.6976972310441596,-0.3464925798287055,3.299320386469695,262.0,1.75,False
2020-03-01,104.271,104.632,12.4,150895.0,4.4,99.687,-0.2887934744149945,1.1662090444265472,-0.0754457506852102,1.5272953094374042,-6.574384735056515,-4.164623770657294,-1398.0,0.25,False
2020-04-01,103.838,104.293,31.8,130426.0,14.8,88.774,-0.415264071505983,0.4624613003096023,-0.3239926599892917,0.9954970222243897,-10.947264939259881,-14.663359864651826,-20469.0,0.25,False
2020-05-01,103.942,104.402,22.6,133040.0,13.2,96.162,0.10015601224984128,0.49016290423937736,0.10451324633484749,0.9973783749794407,8.322256516547633,-7.902272705506008,2614.0,0.25,False
2020-06-01,104.27,104.565,18.3,137671.0,11.0,101.401,0.3155606011044698,0.7595377063120967,0.15612727725522468,0.9704519119350996,5.44809800128947,-3.2119198976767405,4631.0,0.25,False
2020-07-01,104.578,104.937,17.9,139255.0,10.2,102.956,0.29538697611970477,0.9225840072571545,0.3557595753837406,1.2143366963097257,1.5335154485655922,-2.189794890795249,1584.0,0.25,False
2020-08-01,104.87,105.243,13.9,140821.0,8.4,103.78,0.2792174262273184,1.157519050834388,0.29160353354868995,1.3931038469319867,0.8003418936244566,-1.7839398097761805,1566.0,0.25,False
2020-09-01,105.057,105.41,13.3,141770.0,7.8,105.071,0.17831601029845157,1.27635371578958,0.15868038729416334,1.4796915464076354,1.2439776450183126,-0.7228164329717734,949.0,0.25,False
2020-10-01,105.151,105.507,12.8,142460.0,6.9,105.391,0.08947523725215678,1.1874861668446979,0.09202162982639983,1.4217326104510208,0.3045559669176079,-0.427047608249953,690.0,0.25,False
2020-11-01,105.258,105.605,12.0,142733.0,6.7,105.114,0.10175842360033993,1.186264708144269,0.09288483228599986,1.453521884486797,-0.2628307920031103,-1.219787242040371,273.0,0.25,False
2020-12-01,105.699,105.896,11.8,142548.0,6.7,105.538,0.41897052955595093,1.334522131784066,0.2755551347000562,1.508790092214496,0.4033715775253466,-0.9813855738197153,-185.0,0.25,False
