date,cpi_headline,cpi_core,cpi_headline_unadjusted,cpi_core_unadjusted,cpi_energy,cpi_food,cpi_shelter,cpi_core_goods,cpi_medical_services,ppi_final_demand,ppi_final_demand_goods,ppi_final_demand_services,ppi_energy,ppi_less_food_energy_trade,ahe_total_private,payems,unrate,civpart,cpi_headline_mom,cpi_headline_yoy,cpi_headline_ann3,cpi_core_mom,cpi_core_yoy,cpi_core_ann3,cpi_headline_unadjusted_mom,cpi_headline_unadjusted_yoy,cpi_headline_unadjusted_ann3,cpi_core_unadjusted_mom,cpi_core_unadjusted_yoy,cpi_core_unadjusted_ann3,cpi_energy_mom,cpi_energy_yoy,cpi_energy_ann3,cpi_food_mom,cpi_food_yoy,cpi_food_ann3,cpi_shelter_mom,cpi_shelter_yoy,cpi_shelter_ann3,cpi_core_goods_mom,cpi_core_goods_yoy,cpi_core_goods_ann3,cpi_medical_services_mom,cpi_medical_services_yoy,cpi_medical_services_ann3,ppi_final_demand_mom,ppi_final_demand_yoy,ppi_final_demand_ann3,ppi_final_demand_goods_mom,ppi_final_demand_goods_yoy,ppi_final_demand_goods_ann3,ppi_final_demand_services_mom,ppi_final_demand_services_yoy,ppi_final_demand_services_ann3,ppi_energy_mom,ppi_energy_yoy,ppi_energy_ann3,ppi_less_food_energy_trade_mom,ppi_less_food_energy_trade_yoy,ppi_less_food_energy_trade_ann3,ahe_total_private_mom,ahe_total_private_yoy,ahe_total_private_ann3,payroll_change_k,payroll_three_month_avg_k,real_ahe_index,real_ahe_yoy,cpi_headline_release_yoy,cpi_core_release_yoy,contrib_energy_mom_pp,contrib_food_mom_pp,contrib_core_goods_mom_pp,contrib_shelter_mom_pp,contrib_other_services_mom_pp,fed_target_upper,fed_target_lower,fed_target_midpoint
2019-01-01,252.561,260.766,251.712,260.122,204.34,256.302,312.998,144.788,525.384,117.0,113.9,117.8,97.4,109.8,27.59,150060.0,4.0,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.924093585312063,,,,,,,,,,,
2019-02-01,253.319,261.186,252.776,261.114,208.144,256.998,314.072,144.749,526.258,117.2,114.3,118.1,99.5,109.9,27.69,150067.0,3.8,63.1,0.3001255142321968,,,0.16106394238510902,,,0.4227053140096748,,,0.38135951591944384,,,1.861603210335705,,,0.27155465037338455,,,0.3431331829596429,,,-0.02693593391718263,,,0.16635451403164137,,,0.17094017094017033,,,0.3511852502194879,,,0.2546689303905003,,,2.1560574948665145,,,0.09107468123863427,,,0.36245016310256783,,,7.0,,10.93088161567036,,,,0.12100420867182082,0.038832315003393986,-0.004983147774678787,0.12490047859731002,0.020371659734350733,,,
2019-03-01,254.277,261.567,254.202,261.836,214.934,257.374,315.051,144.733,527.381,117.6,115.4,118.5,104.7,110.1,27.77,150295.0,3.8,63.0,0.37817929172307974,,,0.1458730559831034,,,0.5641358356806014,,,0.2765075790650995,,,3.262164655238675,,,0.1463046405030477,,,0.311711964135597,,,-0.011053616950718048,,,0.213393430598674,,,0.3412969283276279,,,0.9623797025371861,,,0.3386960203217715,,,5.2261306532663365,,,0.18198362147405778,,,0.2889129649692901,,,228.0,,10.921160781352619,,,,0.21204070259051389,0.02092156359193582,-0.002044919135882839,0.1134631549453573,0.033798789731155576,,,
2019-04-01,255.233,261.997,255.548,262.332,222.42,257.018,316.172,144.37,528.889,118.2,116.3,119.1,109.3,110.4,27.79,150591.0,3.7,62.8,0.3759679404743643,,4.2994809018042535,0.1643938264383582,,1.9016961591955317,0.5295001612890538,,6.236624673774971,0.18943155257489241,,3.44196053549779,3.482929643518462,,40.37242075086746,-0.13832011003444,,1.1221229580050895,0.35581540766416175,,4.118373669484399,-0.2508066577767365,,-1.1498006607469247,0.28594128343646386,,2.69534715336881,0.5102040816326703,,4.166113144878114,0.7798960138648114,,8.698603012540218,0.5063291139240533,,4.487871927877163,4.393505253104091,,58.5786879588867,0.2724795640327127,,2.2037740385919324,0.07202016564638036,,2.931282778315625,296.0,177.0,10.888090489866121,,,,0.22639042682870003,-0.01977977573492492,-0.04639923168869625,0.12951680838975488,0.08623971267953057,,,
2019-05-01,255.296,262.217,256.092,262.59,220.523,257.523,317.03,144.146,531.474,118.3,116.4,119.2,110.3,110.6,27.88,150618.0,3.6,62.9,0.02468332856644384,,3.1584911773706814,0.08397042714227698,,1.5883251039966018,0.21287585893843275,,5.351493998850421,0.09834865742646137,,2.280325550870077,-0.8528909270749008,,25.9969355847794,0.19648429292891123,,0.8196342551194613,0.27137127892411517,,3.820845735474454,-0.15515688855026744,,-1.6559491498091106,0.4887604015209268,,4.023928309927771,0.08460236886631556,,3.8074521340589307,0.08598452278589797,,7.5541072258555,0.08396305625526512,,3.7780321174144094,0.9149130832570851,,51.01139754059749,0.18115942028984477,,2.5722159855434468,0.32385750269881,,2.7730522309694416,27.0,183.66666666666666,10.920656806217096,,,,-0.05543791025986855,0.028097253888834304,-0.028704024381799476,0.09877914552837792,-0.018051136209100357,,,
2019-06-01,255.213,262.739,256.143,263.177,214.926,257.664,317.949,144.173,533.2,118.2,116.0,119.3,107.5,110.6,27.97,150838.0,3.6,63.0,-0.03251128102280676,,1.4805599461274799,0.1990717611749071,,1.8043569789720992,0.019914718148150712,,3.089424326050483,0.22354240450894736,,2.06440240451089,-2.53805725479882,,-0.014887460080481585,0.05475239104855145,,0.4514683084335447,0.28987792953349967,,3.730483886465108,0.018731008838268615,,-1.5387181992224552,0.32475718473528037,,4.487092734387699,-0.08453085376162184,,2.0564880107093675,-0.3436426116838587,,2.09599867189052,0.0838926174496546,,2.7278912700566815,-2.5385312783318237,,11.134047156629489,0.0,,1.8289421183613541,0.3228120516499233,,2.9120777451349555,220.0,181.0,10.95947306759452,,,,-0.1649737215619233,0.007829591919942857,0.0034652366350796937,0.10551556635019388,0.015652045633900102,,,
2019-07-01,255.802,263.28,256.571,263.566,216.696,257.836,318.777,144.206,535.551,118.5,116.2,119.5,108.8,110.8,28.03,150937.0,3.7,63.1,0.23078761661827762,,0.8947206158462562,0.2059077639787077,,1.973236466672379,0.16709416224534035,,1.6109056022754142,0.14780926904705005,,1.894903210462906,0.8235392646771533,,-9.90343504169282,0.06675360158967525,,1.2791530738667234,0.26041912382173127,,3.336629205495689,0.022889167874695637,,-0.4536143601335474,0.4409227306826802,,5.1344870756983685,0.2538071065989911,,1.0191000532905337,0.17241379310344307,,-0.34349474508447164,0.16764459346185756,,1.3501918690415282,1.209302325581385,,-1.8173084256024374,0.1808318264014508,,1.4571709014402412,0.2145155523775477,,3.4994886048453466,99.0,115.33333333333333,10.957693841330403,,,,0.053530052204014966,0.00954576502732356,0.004234496056818693,0.09479256107111018,0.06868474225901022,,,
2019-08-01,256.036,263.877,256.558,264.169,213.847,258.046,319.37,144.225,538.727,118.6,115.7,119.9,106.9,110.9,28.14,151169.0,3.6,63.1,0.09147700174354512,,1.1644893199990625,0.2267547857794039,,2.556401626183291,-0.005066823608290694,,0.7298525296141056,0.22878519991198498,,2.427052649614847,-1.3147450806660022,,-11.570518176075073,0.08144712142601485,,0.8148326770290426,0.1860234584051046,,2.98525066274522,0.0131755960223634,,0.21940246223179916,0.5930340901239894,,5.571544356251867,0.08438818565399409,,1.0182353238361141,-0.43029259896729677,,-2.383886063732288,0.33472803347280866,,2.369766050552924,-1.746323529411753,,-11.771525321149745,0.09025270758122872,,1.0894134668538946,0.39243667499107016,,3.782778769966022,232.0,183.66666666666666,10.99064194097705,,,,-0.08545843024329014,0.011646938363920122,0.002437485264137229,0.06771253885945806,0.09513846949931984,,,
2019-09-01,256.43,264.388,256.759,264.522,213.015,258.575,320.436,144.175,541.136,118.3,115.2,119.4,105.1,110.9,28.16,151365.0,3.5,63.2,0.1538846099767177,,1.9211133031748817,0.19365082974263093,,2.534209560080214,0.07834485769300237,,0.9654383661544585,0.13362657995450444,,2.0599761654668702,-0.3890632087427126,,-3.5094189669276243,0.20500220890848908,,1.4217629350440797,0.3337821335754665,,3.165705779255057,-0.034668053388786646,,0.00554900464595498,0.44716526181163285,,6.087727216066607,-0.2529510961214121,,0.3388391713841976,-0.4321521175453813,,-2.730214214718063,-0.4170141784820669,,0.3357109931990232,-1.6838166510757868,,-8.635599873916055,0.0,,1.0894134668538946,0.0710732054015617,,2.745009442281443,196.0,175.66666666666666,10.981554420309635,,,,-0.02528910856827632,0.029315315873913936,-0.0064135898769255295,0.1214966966214698,0.03477529592653583,,,
2019-10-01,257.155,264.97,257.346,265.059,215.268,259.088,320.862,144.225,546.096,118.8,115.6,120.0,104.8,110.9,28.24,151460.0,3.6,63.3,0.2827282299262768,,2.1325438094435434,0.2201310195621753,,2.59243689748192,0.22861905522297832,,1.2137280228980751,0.2030076893415389,,2.28517165495683,1.057671994929943,,-2.610009218776488,0.19839504979213274,,1.9565130525271313,0.1329438639853242,,2.6420289271764874,0.034680076296145224,,0.052712800784204816,0.9165902841429929,,8.111686826739305,0.4226542688081203,,1.0165102598888032,0.3472222222222099,,-2.049462362786625,0.5025125628140614,,1.6841735157093973,-0.2854424357754515,,-13.914590611474198,0.0,,0.3614998575280248,0.28409090909089496,,3.0306354729171536,95.0,174.33333333333334,10.981703641772473,,,,0.06874867967044629,0.028370492120274978,0.006415814114786866,0.04839156649065801,0.13080167753011063,,,
