date,unemployment_rate,lfpr,emp_pop_ratio
2024-10-01,4.1,62.6,59.8
2024-11-01,4.2,62.5,59.7
2024-12-01,4.1,62.5,59.8
2025-01-01,4.0,62.6,59.9
2025-02-01,4.1,62.5,59.8
2025-03-01,4.2,62.5,59.7
2025-04-01,4.2,62.4,59.7
2025-05-01,4.1,62.5,59.8
2025-06-01,4.2,62.4,59.7
2025-07-01,4.3,62.3,59.6
2025-08-01,4.2,62.4,59.7
2025-09-01,4.2,62.3,59.6
2025-10-01,4.1,62.4,59.7
2025-11-01,4.2,62.3,59.6
2025-12-01,4.3,62.2,59.5
2026-01-01,4.2,62.1,59.5
2026-02-01,4.4,62.0,59.3
2026-03-01,4.3,61.9,59.2
