week_ending,initial_claims,four_week_avg
2025-12-06,220000,218000
2025-12-13,222000,219500
2025-12-20,219000,219750
2025-12-27,217000,219500
2026-01-03,215000,218250
2026-01-10,218000,217250
2026-01-17,214000,216000
2026-01-24,211000,214500
2026-01-31,216000,214750
2026-02-07,210000,212750
2026-02-14,208000,211250
2026-02-21,215000,212250
2026-02-28,212000,211250
2026-03-07,213000,212000
