sector,change
Health Care,-28000
Information,-11000
Federal Government,-10000
Construction,-8000
Manufacturing,-6000
Retail Trade,-5000
Transportation & Warehousing,-3000
Financial Activities,3000
Other Services,5000
Professional & Business Services,7000
Leisure & Hospitality,10000
Education (State & Local),12000
