date,cpi_yoy,core_cpi_yoy
2025-03-01,3.5,3.6
2025-04-01,3.4,3.5
2025-05-01,3.3,3.4
2025-06-01,3.0,3.3
2025-07-01,2.9,3.2
2025-08-01,2.6,3.2
2025-09-01,2.4,3.3
2025-10-01,2.6,3.3
2025-11-01,2.7,3.3
2025-12-01,2.9,3.2
2026-01-01,2.6,2.8
2026-02-01,2.4,2.5
