date,worker_type,median_pay_change_pct,median_annual_pay
2025-05-01,Job Stayer,4.5,60100.0
2025-06-01,Job Stayer,4.5,60400.0
2025-07-01,Job Stayer,4.5,60700.0
2025-08-01,Job Stayer,4.4,60500.0
2025-09-01,Job Stayer,4.5,61000.0
2025-10-01,Job Stayer,4.5,61000.0
2025-11-01,Job Stayer,4.4,61200.0
2025-12-01,Job Stayer,4.4,61300.0
2026-01-01,Job Stayer,4.5,61800.0
2026-02-01,Job Stayer,4.5,62000.0
2026-03-01,Job Stayer,4.5,61900.0
2026-04-01,Job Stayer,4.4,61800.0
2026-05-01,Job Stayer,4.4,61500.0
2026-06-01,Job Stayer,4.4,61800.0
2026-07-01,Job Stayer,4.4,62100.0
