,headline_index,headline_yoy
1960-01-01,29.37,1.2409513960703222
1960-02-01,29.41,1.4137931034482687
1960-03-01,29.41,1.5188125647221273
1960-04-01,29.54,1.9323671497584405
1960-05-01,29.57,1.8250688705234275
1960-06-01,29.61,1.7176228100309165
1960-07-01,29.55,1.3722126929674117
1960-08-01,29.61,1.473612063056895
1960-09-01,29.61,1.2307692307692353
1960-10-01,29.75,1.3628620102214661
1960-11-01,29.78,1.4650766609880739
1960-12-01,29.81,1.3600816048962905
1961-01-01,29.84,1.6002723867892366
1961-02-01,29.84,1.4620877252635056
1961-03-01,29.84,1.4620877252635056
1961-04-01,29.81,0.9140148950575577
1961-05-01,29.84,0.9130875887723988
1961-06-01,29.84,0.7767646065518496
1961-07-01,29.92,1.25211505922167
1961-08-01,29.94,1.1144883485309176
1961-09-01,29.98,1.249577845322536
1961-10-01,29.98,0.7731092436974896
1961-11-01,29.98,0.671591672263272
1961-12-01,30.01,0.6709158000671067
1962-01-01,30.04,0.6702412868632601
1962-02-01,30.11,0.9048257372654245
1962-03-01,30.17,1.1058981233244003
1962-04-01,30.21,1.3418316001341912
1962-05-01,30.24,1.3404825737265424
1962-06-01,30.21,1.2399463806970434
1962-07-01,30.22,1.0026737967914423
1962-08-01,30.28,1.135604542418167
1962-09-01,30.42,1.4676450967311627
1962-10-01,30.38,1.3342228152101399
1962-11-01,30.38,1.3342228152101399
1962-12-01,30.38,1.2329223592135952
1963-01-01,30.44,1.331557922769644
1963-02-01,30.48,1.2288276320159497
1963-03-01,30.51,1.1269472986410234
1963-04-01,30.48,0.893743793445867
1963-05-01,30.51,0.8928571428571619
1963-06-01,30.61,1.3240648791790655
1963-07-01,30.69,1.5552614162806178
1963-08-01,30.75,1.5521796565389767
1963-09-01,30.72,0.9861932938855844
1963-10-01,30.75,1.2179065174456882
1963-11-01,30.78,1.3166556945358954
1963-12-01,30.88,1.6458196181698526
1964-01-01,30.94,1.6425755584756896
1964-02-01,30.91,1.4107611548556331
1964-03-01,30.94,1.4093739757456536
1964-04-01,30.95,1.5419947506561726
1964-05-01,30.98,1.5404785316289749
1964-06-01,31.01,1.3067624959163693
1964-07-01,31.02,1.0752688172043001
1964-08-01,31.05,0.9756097560975618
1964-09-01,31.08,1.171875
1964-10-01,31.12,1.2032520325203189
1964-11-01,31.21,1.3970110461338558
1964-12-01,31.25,1.1981865284974136
1965-01-01,31.28,1.098901098901095
1965-02-01,31.28,1.1970236169524417
1965-03-01,31.31,1.1958629605688387
1965-04-01,31.38,1.3893376413570246
1965-05-01,31.48,1.6139444803098701
1965-06-01,31.61,1.9348597226700903
1965-07-01,31.58,1.8052869116698789
1965-08-01,31.55,1.6103059581320522
1965-09-01,31.62,1.737451737451745
1965-10-01,31.65,1.7030848329048665
1965-11-01,31.75,1.7302146747837144
1965-12-01,31.85,1.9200000000000106
1966-01-01,31.88,1.9181585677749302
1966-02-01,32.08,2.5575447570332477
