,headline_index,core_index,supercore_index,headline_yoy,core_yoy,supercore_yoy,headline_1m_ann,headline_3m_ann,headline_6m_ann,core_1m_ann,core_3m_ann,core_6m_ann
2019-01-01,252.561,260.766,332.444,1.4875893578291333,2.1794329242488475,2.764760432766611,-0.9736039833725174,-0.33347989556672397,1.07526752618603,3.2924943973599463,2.887258567883344,2.3944609195906796
2019-02-01,253.319,261.186,333.586,1.5188615351321877,2.1410889637129227,2.739844159044025,3.661554666254152,1.1530398025102695,1.3203756047173831,1.9499810159510522,2.720832514727589,2.571667595370619
2019-03-01,254.277,261.567,334.518,1.8831863513063984,2.06656235001228,2.735788212892709,4.633744522782912,2.41105019071437,1.6683998842802916,1.7645892909942118,2.3334304469188494,2.491643169484248
2019-04-01,255.233,261.997,335.468,2.000583470209061,2.0913377235709074,2.8248102693623434,4.606086647776508,4.2994809018042535,1.956688403368756,1.990660739201977,1.9016961591955317,2.3932915831747392
2019-05-01,255.296,262.217,336.204,1.7959105553606136,1.97242800754438,2.7210676508869547,0.29660238986122245,3.1584911773706814,2.1508441670037515,1.0123118576099932,1.5883251039966018,2.153009395021388
2019-06-01,255.213,262.739,337.197,1.671194894390049,2.0746001344216447,2.782654815465091,-0.38943851868652457,1.4805599461274799,1.9447434546022047,2.4151909884090994,1.8043569789720992,2.068550906246047
2019-07-01,255.802,263.28,337.867,1.826331335037068,2.1657049503490455,2.8073186242739023,2.8048767720454615,0.8947206158462562,2.58297610210636,2.4990688070218425,1.973236466672379,1.9374600370082096
2019-08-01,256.036,263.877,338.619,1.7376412106666406,2.321135673598529,2.896811167901414,1.1032638038892761,1.1644893199990625,2.1566252329252356,2.7552509492569266,2.556401626183291,2.0712156775687163
2019-09-01,256.43,264.388,339.377,1.6844977040391562,2.3300099083477743,2.916051322018065,1.8623248796161063,1.9211133031748817,1.7005980726706005,2.3487208448161656,2.534209560080214,2.1686315490774044
2019-10-01,257.155,264.97,340.302,1.7339736996186295,2.3378148209658223,2.9767146293858904,3.445996401613316,2.1325438094435434,1.5117454949892695,2.6737901353711235,2.59243689748192,2.282368116108313
2019-11-01,257.879,265.548,341.032,2.092290394862917,2.3546960942649298,3.036107594649873,3.431316807892637,2.910520563122132,2.0337701862648716,2.649289846841607,2.5571603660805575,2.556780995430241
2019-12-01,258.63,266.02,341.347,2.3195274699624457,2.2905988164406255,2.977271493130762,3.5511838813151453,3.4761519298788013,2.6956893205441146,2.153923473539132,2.492054347720485,2.513129787029289
2020-01-01,259.127,266.716,342.694,2.599767976845202,2.2817391837892886,3.0832260470936568,2.3305262145684624,3.102875216144496,2.616562600257022,3.185188613410017,2.6619370370557505,2.627181083996488
