meeting,horizon,funds,pce,core_pce,gdp,unrate,unrate_longer,funds_longer
June 2026,2026,3.8,3.6,3.3,2.2,4.3,4.2,3.1
June 2026,2027,3.6,2.3,2.5,2.3,4.3,4.2,3.1
June 2026,2028,3.4,2.0,2.1,2.2,4.2,4.2,3.1
June 2026,Longer run,3.1,2.0,,2.0,4.2,4.2,3.1
September 2026,2026,4.1,3.7,3.4,2.3,4.1,4.2,3.2
September 2026,2027,4.1,2.3,2.5,2.4,4.1,4.2,3.2
September 2026,2028,3.9,2.1,2.2,2.2,4.1,4.2,3.2
September 2026,2029,3.6,2.0,2.0,2.1,4.1,4.2,3.2
September 2026,Longer run,3.2,2.0,,2.0,4.2,4.2,3.2
