date,headline_cpi_yoy,headline_cpi_mom,headline_cpi,core_cpi_yoy,core_cpi_mom,core_cpi,headline_pce_yoy,headline_pce_mom,headline_pce,core_pce_yoy,core_pce_mom,core_pce
2018-01-01,,,248.859,,,255.204,,,101.199,,,101.007
2018-02-01,,0.26922876006090224,249.529,,0.1986645977335888,255.711,,0.21442899633394852,101.416,,0.18909580524120173,101.198
2018-03-01,,0.0192362410782021,249.577,,0.21899722733866867,256.271,,0.10649207225683632,101.524,,0.21838376252496516,101.419
2018-04-01,,0.2604406656061986,250.227,,0.1400860807504456,256.63,,0.23836728261297235,101.766,,0.18043956260662686,101.602
2018-05-01,,0.2257949781598212,250.792,,0.20067801893777215,257.145,,0.17196313110467987,101.941,,0.17519340170468745,101.78
2018-06-01,,0.09011451720948305,251.018,,0.0987769546364925,257.399,,0.0863244425697074,102.029,,0.09039103949695093,101.872
2018-07-01,,0.07808204989283585,251.214,,0.11655056934953834,257.699,,0.10585225769144113,102.137,,0.13153761583162282,102.006
2018-08-01,,0.17873207703393845,251.663,,0.07450552776688824,257.891,,0.06951447565524127,102.208,,0.00980334490128243,102.016
2018-09-01,,0.2062281702117419,252.182,,0.18496186373311296,258.368,,0.2054633688165497,102.418,,0.1852650564617253,102.205
2018-10-01,,0.2339580144498754,252.772,,0.212487614565271,258.917,,0.17282118377628386,102.595,,0.157526539797459,102.366
2018-11-01,,-0.07041919199911595,252.594,,0.2016090098371448,259.439,,0.0341147229397043,102.63,,0.18560850282320907,102.556
2018-12-01,,0.06848935445813442,252.767,,0.24051896592260924,260.063,,0.06918055149565117,102.701,,0.1745387885643046,102.735
2019-01-01,1.4875893578291333,-0.08149798035343991,252.561,2.1794329242488475,0.270319114983697,260.766,1.4318323303589953,-0.05160611873301635,102.648,1.844426623897344,0.13140604467805073,102.87
2019-02-01,1.5188615351321877,0.3001255142321968,253.319,2.1410889637129227,0.16106394238510902,261.186,1.4001735426362627,0.1831501831501825,102.836,1.7441056147354805,0.09040536599591587,102.963
2019-03-01,1.8831863513063984,0.37817929172307974,254.277,2.06656235001228,0.1458730559831034,261.567,1.5218076513927814,0.22657435139445958,103.069,1.61606799514884,0.09226615386110915,103.058
2019-04-01,2.000583470209061,0.3759679404743643,255.233,2.0913377235709074,0.1643938264383582,261.997,1.5663384627478738,0.28233513471558336,103.36,1.6367788035668518,0.2008577694113889,103.265
2019-05-01,1.7959105553606136,0.02468332856644384,255.296,1.97242800754438,0.08397042714227698,262.217,1.4655536045359518,0.07256191950464341,103.435,1.563175476517964,0.10264852563792726,103.371
2019-06-01,1.671194894390049,-0.03251128102280676,255.213,2.0746001344216447,0.1990717611749071,262.739,1.4260651383430245,0.04737274616908316,103.484,1.6569813098790576,0.18283657892446126,103.56
2019-07-01,1.826331335037068,0.23078761661827762,255.802,2.1657049503490455,0.2059077639787077,263.28,1.4539295260287632,0.13335394843647652,103.622,1.6391192674940713,0.11394360757048805,103.678
2019-08-01,1.7376412106666406,0.09147700174354512,256.036,2.321135673598529,0.2267547857794039,263.877,1.4304164057608038,0.04632220956939381,103.67,1.745804579673771,0.11477844865834808,103.797
2019-09-01,1.6844977040391562,0.1538846099767177,256.43,2.3300099083477743,0.19365082974263093,264.388,1.2839539924622612,0.06076975016879871,103.733,1.6320140893302693,0.07321984257735448,103.873
2019-10-01,1.7339736996186295,0.2827282299262768,257.155,2.3378148209658223,0.2201310195621753,264.97,1.2885618207514993,0.17737846201304475,103.917,1.6235859562745425,0.1492206829493803,104.028
2019-11-01,2.092290394862917,0.281542260504386,257.879,2.3546960942649298,0.2181379024040364,265.548,1.3582773068303577,0.10296679080419313,104.024,1.4977183197472543,0.06152189795054497,104.092
2019-12-01,2.3195274699624457,0.29122185210892493,258.63,2.2905988164406255,0.17774564297226014,266.02,1.5637627676458932,0.2720526032454096,104.307,1.544751058548699,0.22095838296891657,104.322
2020-01-01,2.599767976845202,0.19216641534238743,259.127,2.2817391837892886,0.2616344635741674,266.716,1.7944821136310463,0.17544364232504606,104.49,1.5913288616700605,0.17733555721708427,104.507
2020-02-01,2.3413166797595197,0.04746707213065804,259.25,2.3676613601035346,0.2452046371421268,267.37,1.689097203314005,0.07943343860656871,104.573,1.6976972310441596,0.19520223525695268,104.711
