date,ahe,payems,unrate,ahe_yoy,ahe_mom,payroll_chg,real_ahe_yoy
2016-01-01,25.37,143210.0,4.8,2.546483427647539,0.47524752475247567,133.0,1.2929802618533826
2016-02-01,25.38,143406.0,4.9,2.3799919322307295,0.039416633819455704,196.0,1.5198371141126765
2016-03-01,25.45,143662.0,5.0,2.4144869215291687,0.2758077226162392,256.0,1.509412658748177
2016-04-01,25.53,143854.0,5.1,2.5713137806347985,0.3143418467583592,192.0,1.3824767518959336
2016-05-01,25.58,143900.0,4.8,2.4429315178213784,0.19584802193497453,46.0,1.3498967371238901
2016-06-01,25.62,144147.0,4.9,2.603123748498204,0.15637216575450363,247.0,1.507566254118431
2016-07-01,25.69,144520.0,4.8,2.7189124350259775,0.2732240437158584,373.0,1.8346179422783493
2016-08-01,25.71,144661.0,4.9,2.430278884462145,0.07785130400934648,141.0,1.3606043513902932
2016-09-01,25.77,144967.0,5.0,2.628434886499398,0.2333722287047868,306.0,1.0633231692781964
2016-10-01,25.9,145065.0,4.9,2.777777777777768,0.5044625533566105,98.0,1.0737501890223156
2016-11-01,25.9,145183.0,4.7,2.5742574257425765,0.0,118.0,0.8751829543229617
2016-12-01,25.93,145408.0,4.7,2.6930693069306955,0.11583011583011782,225.0,0.6293634173071272
2017-01-01,26.0,145628.0,4.7,2.4832479306267308,0.2699575780948704,220.0,-0.026480649174931425
2017-02-01,26.07,145846.0,4.6,2.7186761229314405,0.26923076923077716,218.0,-0.08917929759080234
2017-03-01,26.11,145970.0,4.4,2.59332023575638,0.15343306482547003,124.0,0.1484988508392293
2017-04-01,26.18,146175.0,4.4,2.5460242851547132,0.2680965147453085,205.0,0.3619245267378446
2017-05-01,26.21,146380.0,4.4,2.4628616106333157,0.11459129106188293,205.0,0.5954645778695644
2017-06-01,26.26,146583.0,4.3,2.4980483996877467,0.19076688286914223,203.0,0.8436420861055671
2017-07-01,26.35,146772.0,4.3,2.5690930323083006,0.34272658035034986,189.0,0.8296729328998387
2017-08-01,26.37,146919.0,4.4,2.5670945157526326,0.07590132827324236,147.0,0.6268858374834707
