model,cost_usd,access
Claude Opus 4.8,1.8,closed
GPT-5.6 Sol,1.04,closed
Kimi K3,0.94,open_weights
GLM-5.2,0.32,open_weights
DeepSeek V4 Pro,0.04,open_weights
