date,ppi_final_demand,ppi_final_demand_goods,ppi_finished_goods,ppi_final_demand_services,ppi_energy,ppi_foods,ppi_goods_less_food_energy,ppi_less_food_energy_trade,ppi_trade_services,cpi_headline,cpi_core,cpi_energy,cpi_core_goods,ppi_final_demand_mom,ppi_final_demand_yoy,ppi_final_demand_ann3,ppi_final_demand_goods_mom,ppi_final_demand_goods_yoy,ppi_final_demand_goods_ann3,ppi_finished_goods_mom,ppi_finished_goods_yoy,ppi_finished_goods_ann3,ppi_final_demand_services_mom,ppi_final_demand_services_yoy,ppi_final_demand_services_ann3,ppi_energy_mom,ppi_energy_yoy,ppi_energy_ann3,ppi_foods_mom,ppi_foods_yoy,ppi_foods_ann3,ppi_goods_less_food_energy_mom,ppi_goods_less_food_energy_yoy,ppi_goods_less_food_energy_ann3,ppi_less_food_energy_trade_mom,ppi_less_food_energy_trade_yoy,ppi_less_food_energy_trade_ann3,ppi_trade_services_mom,ppi_trade_services_yoy,ppi_trade_services_ann3,cpi_headline_mom,cpi_headline_yoy,cpi_headline_ann3,cpi_core_mom,cpi_core_yoy,cpi_core_ann3,cpi_energy_mom,cpi_energy_yoy,cpi_energy_ann3,cpi_core_goods_mom,cpi_core_goods_yoy,cpi_core_goods_ann3
2023-01-01,141.203,143.686,257.182,138.124,146.964,272.189,139.756,126.728,151.329,300.42,302.642,292.615,166.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,141.135,143.349,255.223,138.632,146.805,265.472,140.101,127.174,151.214,301.45,304.123,288.702,166.408,-0.04815761704780597,,,-0.23453920354106206,,,-0.7617173830205881,,,0.3677854681300996,,,-0.10818976075772646,,,-2.4677705564883357,,,0.24685881107071594,,,0.35193485259770174,,,-0.07599336544880098,,,0.3428533386591992,,,0.4893570621394172,,,-1.3372520205731098,,,0.13298272428046154,,
2023-03-01,140.736,143.173,253.25,138.763,144.234,266.952,140.384,127.318,150.287,301.821,305.147,282.868,166.755,-0.2827080454883668,,,-0.12277727783241987,,,-0.7730494508723762,,,0.09449477754053248,,,-1.7513027485439814,,,0.5574975891996292,,,0.20199713064146252,,,0.11323069180806389,,,-0.613038475273453,,,0.12307181953890023,,,0.3367058722950844,,,-2.0207688204446073,,,0.20852362867169738,,
2023-04-01,140.934,143.342,253.842,139.153,144.522,266.279,140.606,127.546,150.789,302.845,306.534,280.86,167.495,0.140688949522505,,-0.7598486848800379,0.11803901573621545,,-0.9542101808289627,0.2337611056268507,,-5.094442170864766,0.2810547480236014,,3.0133967299981856,0.19967552726818383,,-6.482692036341153,-0.2521052473853036,,-8.406345125318825,0.15813767950765278,,2.4550962442700053,0.17907915612875858,,2.6070138819527466,0.3340275606007026,,-1.419731786369094,0.3392739405144063,,3.268118426839739,0.4545350273802429,,5.244114003140954,-0.7098717422967527,,-15.126282359778553,0.44376480465353474,,3.1856243990749045
2023-05-01,140.614,142.051,251.298,139.145,138.557,264.15,140.791,127.58,151.452,303.334,307.652,274.273,168.261,-0.2270566364397486,,-1.4684442133894637,-0.9006432169217815,,-3.573032080054761,-1.0021982177890187,,-6.011029677288193,-0.005749067573090905,,1.4884139969893129,-4.127399288689615,,-20.649348528255096,-0.7995373273896988,,-1.97709405206703,0.13157333257471926,,1.9846086784132355,0.02665704922144574,,1.283118748719514,0.43968724509082513,,0.6310592464585429,0.1614687381333635,,2.5234508116479315,0.3647229997324919,,4.722959561851758,-2.3452965890479183,,-18.542128549357194,0.4573270843905686,,4.529063308574677
2023-06-01,140.698,142.377,252.276,139.396,140.799,264.562,140.598,127.903,150.248,304.014,308.322,275.712,168.061,0.05973800617293801,,-0.10795990294384383,0.22949504051363867,,-2.205405431746621,0.3891793806556354,,-1.5295484847528962,0.1803873656976318,,1.837217571078087,1.6181066275973155,,-9.191251605450734,0.15597198561425607,,-3.5333616854104966,-0.137082626020113,,0.6111517744006978,0.25317447875843335,,1.8506237818397553,-0.7949713440562056,,-0.10376099508917491,0.224175331482801,,2.9381880661957682,0.2177785289873002,,4.227336440383245,0.5246597368315342,,-9.741648921008961,-0.11886295695376914,,3.1697348961506
2023-07-01,141.485,142.594,252.507,140.387,142.541,263.818,140.615,128.188,153.309,304.609,308.96,275.548,167.462,0.5593540775277628,,1.5730476415561911,0.1524122575977671,,-2.0710340904207314,0.09156637967939751,,-2.0871335307169114,0.7109242732933563,,3.594638443047349,1.2372246961981137,,-5.371195588759791,-0.2812195251018723,,-3.6459385817191436,0.012091210401288244,,0.025605917681015278,0.22282510965339064,,2.0286438635302995,2.0372983334220773,,6.854289048882256,0.1957146710348745,,2.3503406108246416,0.20692652486684615,,3.203497646868536,-0.059482358402962454,,-7.353399871604605,-0.3564182052945175,,-0.07878503537657178
2023-08-01,142.409,144.62,256.632,140.613,153.234,263.914,140.774,128.536,153.224,306.082,309.58,287.31,167.037,0.6530727638972111,,5.204785855502592,1.42081714518143,,7.432639812736452,1.633618077914667,,8.764484387207517,0.1609835668544779,,4.287312509980068,7.501701264899241,,49.59141416412063,0.036388722528402084,,-0.35689405791263784,0.1130747075347438,,-0.04828979470509198,0.2714762692295869,,3.0311936857084776,-0.05544358126399196,,4.762808243841499,0.4835707415079771,,3.6732691525900307,0.20067322630761275,,2.5303908094295835,4.268584783776319,,20.412269266879623,-0.25378891927719804,,-2.8781686320992983
2023-09-01,142.744,145.04,259.454,140.388,154.682,264.305,141.137,128.923,151.503,307.276,310.539,292.623,166.558,0.23523794142223942,,5.9448264053047595,0.2904162633107443,,7.694075725671201,1.0996290408055165,,11.876207809438831,-0.16001365449851424,,2.877097062836209,0.9449599958233579,,45.66688518984543,0.1481543229991722,,-0.38800093927526813,0.25786011621464766,,1.5422905443053025,0.3010829650837099,,3.2282790317826215,-1.1231921892131846,,3.383238371318087,0.3900915440960384,,4.361479819440595,0.3097745332385715,,2.9073850793267075,1.8492220946016547,,26.885255718639645,-0.28676281302946194,,-3.529569714738956
2023-10-01,142.249,142.932,255.326,140.814,143.899,264.41,141.265,128.986,151.557,307.696,311.457,286.765,166.697,-0.3467746455192544,,2.1775044797940124,-1.4533921676778805,,0.9515229978684037,-1.5910334779961066,,4.5409584713596685,0.3034447388665651,,1.222198901854532,-6.97107614331337,,3.865639280871447,0.03972683074477956,,0.9006142554016217,0.09069202264464504,,1.8618807165651452,0.04886637760523893,,2.5134414321591025,0.035642858557261015,,-4.49339733359867,0.13668493471667986,,4.115761178895805,0.29561504352111356,,3.2721833001305045,-2.00189322097033,,17.304729868934988,0.08345441227681771,,-1.8147972340214036
