date,initial_claims,initial_claims_4wma
2025-04-19,224000,221000.0
2025-04-26,239000,225750.0
2025-05-03,228000,227000.0
2025-05-10,226000,229250.0
2025-05-17,225000,229500.0
2025-05-24,236000,228750.0
2025-05-31,244000,232750.0
2025-06-07,246000,237750.0
2025-06-14,243000,242250.0
2025-06-21,236000,242250.0
2025-06-28,231000,239000.0
2025-07-05,228000,234500.0
2025-07-12,221000,229000.0
2025-07-19,218000,224500.0
2025-07-26,219000,221500.0
2025-08-02,226000,221000.0
2025-08-09,224000,221750.0
2025-08-16,233000,225500.0
2025-08-23,229000,228000.0
2025-08-30,236000,230500.0
2025-09-06,259000,239250.0
2025-09-13,233000,239250.0
2025-09-20,219000,236750.0
2025-09-27,225000,234000.0
2025-10-04,233000,227500.0
2025-10-11,222000,224750.0
2025-10-18,231000,227750.0
2025-10-25,221000,226750.0
2025-11-01,228000,225500.0
2025-11-08,228000,227000.0
2025-11-15,222000,224750.0
2025-11-22,218000,224000.0
2025-11-29,216000,221000.0
2025-12-06,235000,222750.0
2025-12-13,224000,223250.0
2025-12-20,215000,222500.0
2025-12-27,203000,219250.0
2026-01-03,207000,212250.0
2026-01-10,201000,206500.0
2026-01-17,210000,205250.0
2026-01-24,211000,207250.0
2026-01-31,230000,213000.0
2026-02-07,230000,220250.0
2026-02-14,208000,219750.0
2026-02-21,211000,219750.0
2026-02-28,214000,215750.0
2026-03-07,213000,211500.0
2026-03-14,205000,210750.0
2026-03-21,210000,210500.0
