date,continuing_claims,continuing_claims_4wma
2024-05-11,1791000,1785000.0
2024-05-18,1808000,1794750.0
2024-05-25,1804000,1798750.0
2024-06-01,1821000,1806000.0
2024-06-08,1830000,1815750.0
2024-06-15,1839000,1823500.0
2024-06-22,1862000,1838000.0
2024-06-29,1853000,1846000.0
2024-07-06,1864000,1854500.0
2024-07-13,1848000,1856750.0
2024-07-20,1873000,1859500.0
2024-07-27,1871000,1864000.0
2024-08-03,1863000,1863750.0
2024-08-10,1855000,1865500.0
2024-08-17,1862000,1862750.0
2024-08-24,1847000,1856750.0
2024-08-31,1845000,1852250.0
2024-09-07,1825000,1844750.0
2024-09-14,1831000,1837000.0
2024-09-21,1825000,1831500.0
2024-09-28,1858000,1834750.0
2024-10-05,1869000,1845750.0
2024-10-12,1882000,1858500.0
2024-10-19,1853000,1865500.0
2024-10-26,1876000,1870000.0
2024-11-02,1870000,1870250.0
2024-11-09,1887000,1871500.0
2024-11-16,1887000,1880000.0
2024-11-23,1866000,1877500.0
2024-11-30,1859000,1874750.0
2024-12-07,1865000,1869250.0
2024-12-14,1881000,1867750.0
2024-12-21,1833000,1859500.0
2024-12-28,1868000,1861750.0
2025-01-04,1850000,1858000.0
2025-01-11,1891000,1860500.0
2025-01-18,1854000,1865750.0
2025-01-25,1876000,1867750.0
2025-02-01,1840000,1865250.0
2025-02-08,1862000,1858000.0
2025-02-15,1849000,1856750.0
2025-02-22,1889000,1860000.0
2025-03-01,1857000,1864250.0
2025-03-08,1876000,1867750.0
2025-03-15,1852000,1868500.0
2025-03-22,1889000,1868500.0
2025-03-29,1852000,1867250.0
2025-04-05,1876000,1867250.0
2025-04-12,1840000,1864250.0
2025-04-19,1906000,1868500.0
2025-04-26,1876000,1874500.0
2025-05-03,1884000,1876500.0
2025-05-10,1889000,1888750.0
2025-05-17,1917000,1891500.0
2025-05-24,1896000,1896500.0
2025-05-31,1947000,1912250.0
2025-06-07,1935000,1923750.0
2025-06-14,1960000,1934500.0
2025-06-21,1954000,1949000.0
2025-06-28,1952000,1950250.0
2025-07-05,1949000,1953750.0
2025-07-12,1941000,1949000.0
2025-07-19,1936000,1944500.0
2025-07-26,1963000,1947250.0
2025-08-02,1942000,1945500.0
2025-08-09,1957000,1949500.0
2025-08-16,1942000,1951000.0
2025-08-23,1937000,1944500.0
2025-08-30,1927000,1940750.0
2025-09-06,1925000,1932750.0
2025-09-13,1916000,1926250.0
2025-09-20,1921000,1922250.0
2025-09-27,1929000,1922750.0
2025-10-04,1928000,1923500.0
2025-10-11,1947000,1931250.0
2025-10-18,1953000,1939250.0
2025-10-25,1962000,1947500.0
2025-11-01,1946000,1952000.0
2025-11-08,1949000,1952500.0
2025-11-15,1943000,1950000.0
2025-11-22,1932000,1942500.0
2025-11-29,1894000,1929500.0
2025-12-06,1887000,1914000.0
2025-12-13,1910000,1905750.0
2025-12-20,1860000,1887750.0
2025-12-27,1900000,1889250.0
2026-01-03,1875000,1886250.0
2026-01-10,1865000,1875000.0
2026-01-17,1823000,1865750.0
2026-01-24,1842000,1851250.0
2026-01-31,1859000,1847250.0
2026-02-07,1865000,1847250.0
2026-02-14,1827000,1848250.0
2026-02-21,1871000,1855500.0
2026-02-28,1847000,1852500.0
2026-03-07,1851000,1849000.0
2026-03-14,1819000,1847000.0
