state,indicator,cycle,index_value
AL,Output prices,202604,54.2
AL,Input prices,202604,64.4
AL,Future performance,202604,59.7
AL,Future employees,202604,54.0
AL,Future hours,202604,55.7
AL,Future delivery time,202604,53.8
AL,Future demand,202604,58.9
AL,Future output prices,202604,63.1
AL,Future input prices,202604,71.4
AR,Current performance,202604,55.6
AR,Revenues,202604,37.6
AR,Employees,202604,47.1
AR,Hours,202604,41.2
AR,Delivery time,202604,49.6
AR,Demand,202604,43.3
AR,Output prices,202604,50.7
AR,Input prices,202604,65.9
AR,Future performance,202604,58.1
AR,Future employees,202604,55.9
AR,Future hours,202604,56.3
AR,Future delivery time,202604,57.6
AR,Future demand,202604,62.4
AR,Future output prices,202604,62.6
AR,Future input prices,202604,76.7
AZ,Current performance,202604,54.3
AZ,Revenues,202604,40.5
AZ,Employees,202604,48.5
AZ,Hours,202604,44.7
AZ,Delivery time,202604,53.1
AZ,Demand,202604,39.7
AZ,Output prices,202604,56.2
AZ,Input prices,202604,69.2
AZ,Future performance,202604,56.0
AZ,Future employees,202604,53.5
AZ,Future hours,202604,50.2
AZ,Future delivery time,202604,51.8
AZ,Future demand,202604,52.0
AZ,Future output prices,202604,62.7
AZ,Future input prices,202604,72.2
CA,Current performance,202604,49.7
CA,Revenues,202604,36.3
CA,Employees,202604,46.3
CA,Hours,202604,42.5
CA,Delivery time,202604,50.3
CA,Demand,202604,38.8
CA,Output prices,202604,55.3
CA,Input prices,202604,69.4
CA,Future performance,202604,51.1
CA,Future employees,202604,49.8
CA,Future hours,202604,48.7
CA,Future delivery time,202604,50.8
CA,Future demand,202604,51.7
CA,Future output prices,202604,62.1
CA,Future input prices,202604,73.4
CO,Current performance,202604,51.0
CO,Revenues,202604,35.8
CO,Employees,202604,45.6
CO,Hours,202604,42.6
CO,Delivery time,202604,53.5
CO,Demand,202604,38.6
CO,Output prices,202604,54.9
CO,Input prices,202604,70.8
CO,Future performance,202604,52.5
CO,Future employees,202604,53.4
CO,Future hours,202604,53.5
CO,Future delivery time,202604,54.7
CO,Future demand,202604,54.1
CO,Future output prices,202604,61.6
CO,Future input prices,202604,75.4
CT,Current performance,202604,57.1
CT,Revenues,202604,39.5
CT,Employees,202604,45.8
CT,Hours,202604,41.6
CT,Delivery time,202604,51.7
CT,Demand,202604,43.1
CT,Output prices,202604,58.4
CT,Input prices,202604,70.1
CT,Future performance,202604,58.1
CT,Future employees,202604,53.1
CT,Future hours,202604,54.1
CT,Future delivery time,202604,52.8
CT,Future demand,202604,56.5
CT,Future output prices,202604,66.1
CT,Future input prices,202604,76.3
DC,Current performance,202604,52.4
DC,Revenues,202604,40.2
DC,Employees,202604,47.7
DC,Hours,202604,47.5
DC,Delivery time,202604,57.6
DC,Demand,202604,45.1
DC,Output prices,202604,54.9
DC,Input prices,202604,68.5
DC,Future performance,202604,56.3
DC,Future employees,202604,57.8
DC,Future hours,202604,60.9
DC,Future delivery time,202604,53.1
DC,Future demand,202604,56.6
DC,Future output prices,202604,60.2
DC,Future input prices,202604,73.5
DE,Current performance,202604,54.9
DE,Revenues,202604,44.0
DE,Employees,202604,49.4
DE,Hours,202604,40.2
DE,Delivery time,202604,46.7
DE,Demand,202604,43.9
DE,Output prices,202604,55.2
DE,Input prices,202604,67.0
DE,Future performance,202604,58.2
DE,Future employees,202604,55.8
DE,Future hours,202604,59.3
DE,Future delivery time,202604,55.4
DE,Future demand,202604,64.4
DE,Future output prices,202604,65.5
DE,Future input prices,202604,73.3
FL,Current performance,202604,53.4
FL,Revenues,202604,38.8
FL,Employees,202604,46.6
FL,Hours,202604,45.0
FL,Delivery time,202604,51.8
FL,Demand,202604,41.7
FL,Output prices,202604,55.0
FL,Input prices,202604,68.9
FL,Future performance,202604,54.2
